date,confirmed_1,recovered_1,deaths_1
20200122,555,28,17
20200123,653,30,18
20200124,941,36,26
20200125,1438,39,42
20200126,2118,52,56
20200127,2927,61,82
20200128,5578,107,131
20200129,6165,126,133
20200130,8235,143,171
20200131,9925,222,213
20200201,12038,284,259
20200202,16787,472,362
20200203,19881,623,426
20200204,23892,852,492
20200205,27636,1124,564
20200206,30818,1487,634
20200207,34392,2011,719
20200208,37121,2616,806
20200209,40151,3244,906
20200210,42763,3946,1013
20200211,44803,4683,1113
20200212,45222,5150,1118
20200213,60370,6295,1371
20200214,66887,8058,1523
20200215,69032,9395,1666
20200216,71226,10865,1770
20200217,73260,12583,1868
20200218,75138,14352,2007
20200219,75641,16121,2122
20200220,76199,18177,2247
20200221,76843,18890,2251
20200222,78599,22886,2458
20200223,78985,23394,2469
20200224,79570,25227,2629
20200225,80415,27905,2708
20200226,81397,30384,2770
20200227,82756,33277,2814
20200228,84124,36711,2872
20200229,86013,39782,2941
20200301,88371,42716,2996
20200302,90309,45602,3085
20200303,92844,48229,3160
20200304,95124,51171,3254
20200305,97886,53797,3348
20200306,101800,55866,3460
20200307,105836,58359,3558
20200308,109835,60695,3803
20200309,113582,62512,3996
20200310,118582,64404,4262
20200311,125865,67003,4615
20200312,128343,68324,4720
20200313,145193,70251,5404
20200314,156099,72624,5819
20200315,167447,76034,6440
