date,china_1,italy_1,korea_1,china_2,italy_2,korea_2
20200122,548,0,1,28,0,1
20200123,643,0,1,30,0,1
20200124,920,0,2,36,0,2
20200125,1406,0,2,39,0,2
20200126,2075,0,3,49,0,3
20200127,2877,0,4,58,0,4
20200128,5509,0,4,101,0,4
20200129,6087,0,4,120,0,4
20200130,8141,0,4,135,0,4
20200131,9802,2,11,214,0,11
20200201,11891,2,12,275,0,12
20200202,16630,2,15,463,0,15
20200203,19716,2,15,614,0,15
20200204,23707,2,16,843,0,16
20200205,27440,2,19,1115,0,19
20200206,30587,2,23,1477,0,23
20200207,34110,3,24,1999,0,24
20200208,36814,3,24,2596,0,24
20200209,39829,3,25,3219,0,25
20200210,42354,3,27,3918,0,27
20200211,44386,3,28,4636,0,28
20200212,44759,3,28,5082,0,28
20200213,59895,3,28,6217,0,28
20200214,66358,3,28,7977,0,28
20200215,68413,3,28,9298,0,28
20200216,70513,3,29,10755,0,29
20200217,72434,3,30,12462,0,30
20200218,74211,3,31,14206,0,31
20200219,74619,3,31,15962,0,31
20200220,75077,3,104,18014,0,104
20200221,75550,20,204,18704,0,204
20200222,77001,62,433,22699,1,433
20200223,77022,155,602,23187,2,602
20200224,77241,229,833,25015,1,833
20200225,77754,322,977,27676,1,977
20200226,78166,453,1261,30084,3,1261
20200227,78600,655,1766,32930,45,1766
20200228,78928,888,2337,36329,46,2337
20200229,79356,1128,3150,39320,46,3150
20200301,79932,1694,3736,42162,83,3736
20200302,80136,2036,4335,44854,149,4335
20200303,80261,2502,5186,47450,160,5186
20200304,80386,3089,5621,50001,276,5621
20200305,80537,3858,6088,52292,414,6088
20200306,80690,4636,6593,53944,523,6593
20200307,80770,5883,7041,55539,589,7041
20200308,80823,7375,7314,57388,622,7314
20200309,80860,9172,7478,58804,724,7478
20200310,80887,10149,7513,60181,724,7513
20200311,80921,12462,7755,61644,1045,7755
20200312,80932,12462,7869,62901,1045,7869
20200313,80945,17660,7979,64196,1439,7979
20200314,80977,21157,8086,65660,1966,8086
